type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,1,2010-07-08,16:00,0.0,0.0,S0,0.0
Репо,3,2010-07-09,11:30,1037.1,5.08,S0,1.0371
Репо,3,2010-07-09,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-12,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-12,11:30,1003.8,5.07,S0,1.0038
Репо,91,2010-07-12,13:30,0.0,0.0,S0,0.0
Репо,7,2010-07-13,13:45,1928.7,5.08,S1,1.9287
Репо,1,2010-07-13,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-13,11:30,1062.2,5.07,S0,1.0622
Репо,1,2010-07-14,11:30,510.9,5.06,S0,0.5109
Репо,1,2010-07-14,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-15,11:30,521.3,5.06,S0,0.5213
Репо,1,2010-07-15,16:00,0.0,0.0,S0,0.0
Репо,3,2010-07-16,16:00,0.0,0.0,S0,0.0
Репо,3,2010-07-16,11:30,463.1,5.07,S0,0.4631
Репо,91,2010-07-19,13:30,0.0,0.0,S2,0.0
Репо,1,2010-07-19,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-19,11:30,493.2,5.07,S0,0.49319999999999997
Репо,1,2010-07-20,11:30,2225.0,5.09,S0,2.225
Репо,7,2010-07-20,13:45,3729.8,5.16,S1,3.7298
Репо,1,2010-07-20,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-21,11:30,380.9,5.06,S0,0.38089999999999996
Репо,1,2010-07-21,15:30,0.0,0.0,S0,0.0
Репо,1,2010-07-22,15:30,36.4,5.01,S0,0.0364
Репо,1,2010-07-22,11:30,343.4,5.08,S0,0.3434
Репо,3,2010-07-23,11:30,380.1,5.08,S0,0.38010000000000005
Репо,3,2010-07-23,15:30,0.0,0.0,S0,0.0
Репо,1,2010-07-26,15:30,0.0,0.0,S0,0.0
Репо,1,2010-07-26,11:30,392.6,5.07,S0,0.3926
Репо,91,2010-07-26,13:30,0.0,0.0,S2,0.0
Репо,1,2010-07-27,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-27,11:30,454.1,5.06,S0,0.4541
Репо,7,2010-07-27,13:45,4265.3,5.14,S1,4.2653
Репо,1,2010-07-28,11:30,597.7,5.04,S0,0.5977
Репо,1,2010-07-28,16:00,0.0,0.0,S0,0.0
Репо,1,2010-07-29,11:30,581.0,5.03,S0,0.581
Репо,1,2010-07-29,16:00,0.0,0.0,S0,0.0
Репо,3,2010-07-30,11:30,532.4,5.04,S0,0.5324
Репо,3,2010-07-30,16:00,69.8,5.01,S0,0.0698
Репо,1,2010-08-02,11:30,462.5,5.03,S0,0.4625
Репо,1,2010-08-02,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-03,11:30,595.3,5.03,S0,0.5952999999999999
Репо,7,2010-08-03,13:45,4205.1,5.1,S1,4.205100000000001
Репо,1,2010-08-03,16:00,0.0,0.0,S0,0.0
Репо,1,2010-08-04,11:30,593.0,5.03,S0,0.593
Репо,1,2010-08-04,16:00,0.0,0.0,S0,0.0
Репо,1,2010-08-05,11:30,2063.9,5.09,S0,2.0639000000000003
Репо,1,2010-08-05,16:00,0.0,0.0,S0,0.0
Репо,3,2010-08-06,15:30,0.0,0.0,S0,0.0
Репо,3,2010-08-06,11:30,400.6,5.02,S0,0.4006
Репо,91,2010-08-09,13:30,0.0,0.0,S2,0.0
Репо,1,2010-08-09,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-09,11:30,537.1,5.02,S0,0.5371
Репо,1,2010-08-10,11:30,361.2,5.03,S0,0.36119999999999997
Репо,7,2010-08-10,13:30,3660.5,5.11,S1,3.6605
Репо,1,2010-08-10,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-11,11:30,369.8,5.05,S0,0.3698
Репо,1,2010-08-11,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-12,11:30,275.5,5.05,S0,0.2755
Репо,1,2010-08-12,15:30,0.0,0.0,S0,0.0
Репо,3,2010-08-13,11:30,225.7,5.04,S0,0.22569999999999998
Репо,3,2010-08-13,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-16,11:30,700.4,5.14,S0,0.7004
Репо,91,2010-08-16,13:30,0.0,0.0,S2,0.0
Репо,1,2010-08-16,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-17,16:00,0.0,0.0,S0,0.0
Репо,7,2010-08-17,13:45,2737.6,5.09,S1,2.7376
Репо,1,2010-08-17,11:30,360.5,5.04,S0,0.3605
Репо,1,2010-08-18,11:30,215.2,5.04,S0,0.2152
Репо,1,2010-08-18,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-19,11:30,296.1,5.03,S0,0.29610000000000003
Репо,1,2010-08-19,15:30,0.0,0.0,S0,0.0
Репо,3,2010-08-20,11:30,4862.6,5.31,S0,4.8626000000000005
Репо,3,2010-08-20,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-23,11:30,488.8,5.02,S0,0.4888
Репо,1,2010-08-23,15:30,250.5,5.17,S0,0.2505
Репо,91,2010-08-23,13:30,0.0,0.0,S2,0.0
Репо,1,2010-08-24,11:30,535.7,5.03,S0,0.5357000000000001
Репо,7,2010-08-24,13:30,2060.4,5.08,S1,2.0604
Репо,1,2010-08-24,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-25,11:30,398.9,5.03,S0,0.3989
Репо,1,2010-08-25,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-26,15:30,205.5,5.16,S0,0.2055
Репо,1,2010-08-26,11:30,360.0,5.03,S0,0.36
Репо,3,2010-08-27,15:30,0.0,0.0,S0,0.0
Репо,3,2010-08-27,11:30,360.5,5.03,S0,0.3605
Репо,1,2010-08-30,11:30,360.4,5.04,S0,0.3604
Репо,91,2010-08-30,13:30,0.0,0.0,S2,0.0
Репо,1,2010-08-30,15:30,0.0,0.0,S0,0.0
Репо,1,2010-08-31,11:30,304.3,5.05,S0,0.3043
Репо,7,2010-08-31,13:30,1547.1,5.09,S1,1.5471
Репо,1,2010-08-31,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-01,11:30,194.3,5.05,S0,0.1943
Репо,1,2010-09-01,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-02,15:30,0.0,0.0,S0,0.0
Репо,1,2010-09-02,11:30,291.5,5.05,S0,0.2915
